name,district,place_image,address
테크노마트 강변점,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41890743-1e41-4584-8196-c05bc2487a48,서울특별시 광진구 광나루로56길 85 
뚝섬한강공원,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e21dcce5-533d-40cb-930b-1c46ea407d65,서울특별시 광진구 자양동  427-1
고척 스카이돔,서울 구로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=707af6a4-d8d4-4fd2-89fe-f1ef85c91d1f,서울특별시 구로구 경인로 430 (고척동)
성대시장,서울 동작구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89e7c978-eda6-4aed-a280-c287fc7e9fc2,서울특별시 동작구 성대로2길 7 (상도동)
모래내시장,서울 서대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=85a3ea7e-f398-4766-aeb2-8e3af5b5af5a,서울특별시 서대문구 남가좌동 154-15(남가좌동)
The-K호텔서울 (더케이호텔서울),서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cadd6cb8-1491-44b3-ade6-442c4b48ff21,서울특별시 서초구 바우뫼로12길 70 
서울 헌릉(태종·원경왕후)과 인릉(순조·순원황후) [유네스코 세계유산],서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cfe35b17-7397-40b4-b336-90fc458a49da,서울특별시 서초구 헌인릉길 34 (내곡동) 
금남시장,서울 성동구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8196b06-82bf-4ef8-9f6e-e103ef14f528,서울특별시 성동구 독서당로 303-7 (금호동3가)
올림픽공원,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a024e46a-f30a-47a7-902d-dca0db007403,서울특별시 송파구 올림픽로 424 (방이동)
은평한옥마을,서울 은평구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b009fd02-984d-476e-9bda-d869ee53b9a0,서울특별시 은평구 진관동 127-27 
광장시장,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f577a5c8-9351-46b2-b109-c26dbe54a551,서울특별시 종로구 창경궁로 88 
조계사(서울),서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e3394df8-3288-4619-9e27-ae6a33a98506,서울특별시 종로구 우정국로 55 
낙원 악기상가,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d8959a7-2f18-4e48-9fcb-2e8e213f217b,서울특별시 종로구 삼일대로 428 (낙원동)
낙산공원,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4fa52258-8b64-4f2a-9626-6c0c23b6052b,서울특별시 종로구 낙산길 41 (동숭동)
스타필드 코엑스몰,서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1eff8e55-b660-4f67-8ba2-954d86771814,서울특별시 강남구 영동대로 513 (삼성동)
우리유황온천,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1b28b328-80e3-41c2-b057-9d9357b634b0,서울특별시 광진구 자양로5길 33
청량리청과물시장,서울 동대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7895a7aa-0954-4a41-b2e2-c2f9e209bbf2,서울특별시 동대문구 왕산로33길 4(제기동)
보라매공원,서울 동작구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eeceea90-6f67-45e5-a96c-6ff129cdf8ae,서울특별시 동작구 여의대방로20길 33 
서울함공원,서울 마포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1b0fd308-9db2-4b66-b116-5dd3cf1e580a,서울특별시 마포구 마포나루길 407 
한강,서울 성동구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89c2f735-d9d7-42f1-84df-c7a20c294314,서울특별시 성동구 강변북로 257 
시그니엘서울 리트릿 시그니엘,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aaeda731-6f0f-4ec9-a328-61f8ee8030a5,서울특별시 송파구 올림픽로 300 86층
잠실한강공원,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4986bcf-6218-46e9-86a6-a0be4445822b,서울특별시 송파구 한가람로 65 (잠실동)
이촌한강공원,서울 용산구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=df3cea87-b098-46b6-a1c6-c9cee90958f7,서울특별시 용산구 이촌로72길 62 (이촌동)
경인미술관,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fba58374-00e3-41be-be6d-9b3c3d7024ca,서울특별시 종로구 인사동10길 11-4 (관훈동)
대한민국역사박물관,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f3b3582-54e3-4d6b-a736-7e1c4cf04b72,서울특별시 종로구 세종대로 198 (세종로)
서울공예박물관,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53a05b20-26ff-476d-bd71-ead3022cf3ee,서울특별시 종로구 율곡로3길 4 (안국동)
동묘벼룩시장,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0961338f-3f3b-49f8-b3dc-00243da16974,서울특별시 종로구 종로58길 4(숭인동)
경희궁,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61ffabfc-a5c5-41d2-afbd-f57dc08e91be,서울특별시 종로구 새문안로 45 
돈의문박물관마을,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05433d60-2fc3-4942-ae38-bcd0f0dd3b48,서울특별시 종로구 송월길 14-3 
창덕궁과 후원 [유네스코 세계유산],서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bef2d1e-2cde-4cd5-90b3-ff0f3bc23807,서울특별시 종로구 율곡로 99 (와룡동)
청계천,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e420304-e178-4345-96dc-0b5940257c9f,서울특별시 종로구 창신동 
암사동 선사유적박물관,서울 강동구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96d284b6-5112-40ce-bede-245b2d851c58,서울특별시 강동구 올림픽로 875 
수유시장,서울 강북구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3b0ecda-926c-4526-9ef0-857173fde929,서울특별시 강북구 도봉로71길 2 (수유동)
강서농산물도매시장,서울 강서구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=772f7f15-330b-4260-9865-65a5f15edc5c,서울특별시 강서구 발산로 40 (외발산동)
서울상상나라,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86faaea1-99ef-4462-bb05-455617a59dbb,서울특별시 광진구 능동로 216 (능동) 
독산동우시장,서울 금천구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=178f7687-e6da-412b-99d6-4056e3054174,서울특별시 금천구 범안로 1209 (독산동)
예술의전당 한가람미술관,서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e86c67c4-26af-462e-8a81-d145475196fa,서울특별시 서초구 남부순환로 2406 
고속터미널 꽃도매상가,서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=975d338d-f628-4379-b505-bcbf55bfa9d2,서울특별시 서초구 신반포로 194(반포동)
한국가구박물관,서울 성북구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a8a59343-a55d-4e9b-81af-7e078516c9f5,서울특별시 성북구 대사관로 121 (성복동)
올림픽공원체조경기장,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a7eaeaa7-ae7b-4992-99ad-94061f334fd9,서울특별시 송파구 올림픽로 424 (방이동)
한성백제박물관,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3bdc7407-019f-4425-b5ca-1da898bf32e7,서울특별시 송파구 위례성대로 71 (방이동)
양화한강공원,서울 영등포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=55eab8b4-d074-4b98-8310-7d23251a7775,서울특별시 영등포구 노들로 221 한강사업본부 양화안내센터  
IFC몰,서울 영등포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=339e1d6f-da1d-438b-b07c-8183dea1254f,서울특별시 영등포구 국제금융로 10 (여의도동) IFC몰 B1
국립중앙박물관 어린이박물관,서울 용산구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8465254a-e165-4b13-b709-e1abfed00b93,서울특별시 용산구 서빙고로 137 
